kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
止,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
紙,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
脂,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
至,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
誌,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
趾,シ,シ,s-i,지,ㅈᅵ,j-i-,シ,(none),s,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
使,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
史,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
司,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
四,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
士,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
師,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
思,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
死,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
私,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
糸,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
詞,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
賜,シ,シ,s-i,사,ㅅᅡ,s-a-,シ,(none),s,i,(none),ㅅ,ᅡ,(none),s,a,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(03) ᅡ(a),(01) (none)
始,シ,シ,s-i,시,ㅅᅵ,s-i-,シ,(none),s,i,(none),ㅅ,ᅵ,(none),s,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(16) ᅵ(i),(01) (none)
市,シ,シ,s-i,시,ㅅᅵ,s-i-,シ,(none),s,i,(none),ㅅ,ᅵ,(none),s,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(16) ᅵ(i),(01) (none)
示,シ,シ,s-i,시,ㅅᅵ,s-i-,シ,(none),s,i,(none),ㅅ,ᅵ,(none),s,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(16) ᅵ(i),(01) (none)
試,シ,シ,s-i,시,ㅅᅵ,s-i-,シ,(none),s,i,(none),ㅅ,ᅵ,(none),s,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(16) ᅵ(i),(01) (none)
詩,シ,シ,s-i,시,ㅅᅵ,s-i-,シ,(none),s,i,(none),ㅅ,ᅵ,(none),s,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(05) ㅅ(s),(16) ᅵ(i),(01) (none)
氏,シ,シ,s-i,씨,ㅆᅵ,ss-i-,シ,(none),s,i,(none),ㅆ,ᅵ,(none),ss,i,(none),,(05) サ行(s),(10) イ(i),(01) (none),(10) ㅆ(ss),(16) ᅵ(i),(01) (none)
租,ソ,ソ,s-o,조,ㅈᅩ,j-o-,ソ,(none),s,o,(none),ㅈ,ᅩ,(none),j,o,(none),,(05) サ行(s),(05) オ(o),(01) (none),(06) ㅈ(j),(05) ᅩ(o),(01) (none)
素,ソ,ソ,s-o,소,ㅅᅩ,s-o-,ソ,(none),s,o,(none),ㅅ,ᅩ,(none),s,o,(none),,(05) サ行(s),(05) オ(o),(01) (none),(05) ㅅ(s),(05) ᅩ(o),(01) (none)
蘇,ソ,ソ,s-o,소,ㅅᅩ,s-o-,ソ,(none),s,o,(none),ㅅ,ᅩ,(none),s,o,(none),,(05) サ行(s),(05) オ(o),(01) (none),(05) ㅅ(s),(05) ᅩ(o),(01) (none)
訴,ソ,ソ,s-o,소,ㅅᅩ,s-o-,ソ,(none),s,o,(none),ㅅ,ᅩ,(none),s,o,(none),,(05) サ行(s),(05) オ(o),(01) (none),(05) ㅅ(s),(05) ᅩ(o),(01) (none)
子,ス,ス,s-u,자,ㅈᅡ,j-a-,ス,(none),s,u,(none),ㅈ,ᅡ,(none),j,a,(none),,(05) サ行(s),(07) ウ(u),(01) (none),(06) ㅈ(j),(03) ᅡ(a),(01) (none)
州,ス,ス,s-u,주,ㅈᅮ,j-u-,ス,(none),s,u,(none),ㅈ,ᅮ,(none),j,u,(none),しう,(05) サ行(s),(07) ウ(u),(01) (none),(06) ㅈ(j),(09) ᅮ(u),(01) (none)
須,ス,ス,s-u,수,ㅅᅮ,s-u-,ス,(none),s,u,(none),ㅅ,ᅮ,(none),s,u,(none),しゆ,(05) サ行(s),(07) ウ(u),(01) (none),(05) ㅅ(s),(09) ᅮ(u),(01) (none)
多,タ,タ,t-a,다,ㄷᅡ,d-a-,タ,(none),t,a,(none),ㄷ,ᅡ,(none),d,a,(none),,(06) タ行(t),(02) ア(a),(01) (none),(07) ㄷ(d),(03) ᅡ(a),(01) (none)
値,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
恥,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
痴,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
稚,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
置,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
致,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
治,チ,チ,t-i,치,ㅊᅵ,ch-i-,チ,(none),t,i,(none),ㅊ,ᅵ,(none),ch,i,(none),ぢ,(06) タ行(t),(10) イ(i),(01) (none),(08) ㅊ(ch),(16) ᅵ(i),(01) (none)
池,チ,チ,t-i,지,ㅈᅵ,j-i-,チ,(none),t,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
知,チ,チ,t-i,지,ㅈᅵ,j-i-,チ,(none),t,i,(none),ㅈ,ᅵ,(none),j,i,(none),,(06) タ行(t),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
地,チ,チ,t-i,지,ㅈᅵ,j-i-,チ,(none),t,i,(none),ㅈ,ᅵ,(none),j,i,(none),ぢ,(06) タ行(t),(10) イ(i),(01) (none),(06) ㅈ(j),(16) ᅵ(i),(01) (none)
塗,ト,ト,t-o,도,ㄷᅩ,d-o-,ト,(none),t,o,(none),ㄷ,ᅩ,(none),d,o,(none),,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
賭,ト,ト,t-o,도,ㄷᅩ,d-o-,ト,(none),t,o,(none),ㄷ,ᅩ,(none),d,o,(none),,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
図,ト,ト,t-o,도,ㄷᅩ,d-o-,ト,(none),t,o,(none),ㄷ,ᅩ,(none),d,o,(none),づ,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
徒,ト,ト,t-o,도,ㄷᅩ,d-o-,ト,(none),t,o,(none),ㄷ,ᅩ,(none),d,o,(none),づ,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
斗,ト,ト,t-o,두,ㄷᅮ,d-u-,ト,(none),t,o,(none),ㄷ,ᅮ,(none),d,u,(none),,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(09) ᅮ(u),(01) (none)
吐,ト,ト,t-o,토,ㅌᅩ,t-o-,ト,(none),t,o,(none),ㅌ,ᅩ,(none),t,o,(none),,(06) タ行(t),(05) オ(o),(01) (none),(09) ㅌ(t),(05) ᅩ(o),(01) (none)
土,ト,ト,t-o,토,ㅌᅩ,t-o-,ト,(none),t,o,(none),ㅌ,ᅩ,(none),t,o,(none),,(06) タ行(t),(05) オ(o),(01) (none),(09) ㅌ(t),(05) ᅩ(o),(01) (none)
登,ト,ト,t-o,등,ㄷᅳㅇ,d-eu-ng,ト,(none),t,o,(none),ㄷ,ᅳ,ㅇ,d,eu,ng,,(06) タ行(t),(05) オ(o),(01) (none),(07) ㄷ(d),(08) ᅳ(eu),(02) ㅇ (ng)
話,ワ,ワ,w-a,화,ㅎᅪ,h-wa-,ワ,(none),w,wa,(none),ㅎ,ᅪ,(none),h,wa,(none),,(02) ワ行(w),(02) ア(a),(01) (none),(03) ㅎ(h),(04) ᅪ(wa),(01) (none)
和,ワ,ワ,w-a,화,ㅎᅪ,h-wa-,ワ,(none),w,wa,(none),ㅎ,ᅪ,(none),h,wa,(none),くわ,(02) ワ行(w),(02) ア(a),(01) (none),(03) ㅎ(h),(04) ᅪ(wa),(01) (none)
琶,ワ,ワ,w-a,파,ㅍᅡ,p-a-,ワ,(none),w,wa,(none),ㅍ,ᅡ,(none),p,a,(none),,(02) ワ行(w),(02) ア(a),(01) (none),(14) ㅍ(p),(03) ᅡ(a),(01) (none)
子,ザ,ザ,z-a,자,ㅈᅡ,j-a-,ザ,(none),z,a,(none),ㅈ,ᅡ,(none),j,a,(none),,(09) ザ行(z),(02) ア(a),(01) (none),(06) ㅈ(j),(03) ᅡ(a),(01) (none)
坐,ザ,ザ,z-a,좌,ㅈᅪ,j-wa-,ザ,(none),z,a,(none),ㅈ,ᅪ,(none),j,wa,(none),,(09) ザ行(z),(02) ア(a),(01) (none),(06) ㅈ(j),(04) ᅪ(wa),(01) (none)
座,ザ,ザ,z-a,좌,ㅈᅪ,j-wa-,ザ,(none),z,a,(none),ㅈ,ᅪ,(none),j,wa,(none),,(09) ザ行(z),(02) ア(a),(01) (none),(06) ㅈ(j),(04) ᅪ(wa),(01) (none)
図,ズ,ズ,z-u,도,ㄷᅩ,d-o-,ズ,(none),z,u,(none),ㄷ,ᅩ,(none),d,o,(none),づ,(09) ザ行(z),(07) ウ(u),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
頭,ズ,ズ,z-u,두,ㄷᅮ,d-u-,ズ,(none),z,u,(none),ㄷ,ᅮ,(none),d,u,(none),づ,(09) ザ行(z),(07) ウ(u),(01) (none),(07) ㄷ(d),(09) ᅮ(u),(01) (none)
愛,アイ,ア-イ,-a-i,애,ㅇᅢ,-ae-,ア,イ,(none),ai,(none),ㅇ,ᅢ,(none),(none),ae,(none),,(01) ア行,(01) アイ(ai),(01) (none),(01) ㅇ,(01) ᅢ(ae),(01) (none)
握,アク,ア-ク,-a-ku,악,ㅇᅡㄱ,-a-k,ア,ク,(none),a,ku,ㅇ,ᅡ,ㄱ,(none),a,k,,(01) ア行,(02) ア(a),(05) ク (ku),(01) ㅇ,(03) ᅡ(a),(06) ㄱ (k)
悪,アク,ア-ク,-a-ku,악,ㅇᅡㄱ,-a-k,ア,ク,(none),a,ku,ㅇ,ᅡ,ㄱ,(none),a,k,を,(01) ア行,(02) ア(a),(05) ク (ku),(01) ㅇ,(03) ᅡ(a),(06) ㄱ (k)
暗,アン,ア-ン,-a-n,암,ㅇᅡㅁ,-a-m,ア,ン,(none),a,n,ㅇ,ᅡ,ㅁ,(none),a,m,,(01) ア行,(02) ア(a),(04) ン (n),(01) ㅇ,(03) ᅡ(a),(05) ㅁ (m)
安,アン,ア-ン,-a-n,안,ㅇᅡㄴ,-a-n,ア,ン,(none),a,n,ㅇ,ᅡ,ㄴ,(none),a,n,,(01) ア行,(02) ア(a),(04) ン (n),(01) ㅇ,(03) ᅡ(a),(04) ㄴ (n)
案,アン,ア-ン,-a-n,안,ㅇᅡㄴ,-a-n,ア,ン,(none),a,n,ㅇ,ᅡ,ㄴ,(none),a,n,,(01) ア行,(02) ア(a),(04) ン (n),(01) ㅇ,(03) ᅡ(a),(04) ㄴ (n)
鞍,アン,ア-ン,-a-n,안,ㅇᅡㄴ,-a-n,ア,ン,(none),a,n,ㅇ,ᅡ,ㄴ,(none),a,n,,(01) ア行,(02) ア(a),(04) ン (n),(01) ㅇ,(03) ᅡ(a),(04) ㄴ (n)
圧,アツ,ア-ツ,-a-tu,압,ㅇᅡㅂ,-a-b,ア,ツ,(none),a,tu,ㅇ,ᅡ,ㅂ,(none),a,b,あふ,(01) ア行,(02) ア(a),(07) ツ (tu),(01) ㅇ,(03) ᅡ(a),(03) ㅂ (b)
圧,アッ,ア-ッ,-a-xtu,압,ㅇᅡㅂ,-a-b,ア,ッ,(none),a,xtu,ㅇ,ᅡ,ㅂ,(none),a,b,あふ,(01) ア行,(02) ア(a),(08) ッ (xtu),(01) ㅇ,(03) ᅡ(a),(03) ㅂ (b)
営,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
映,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
栄,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
永,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
泳,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
英,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
影,エイ,エ-イ,-e-i,영,ㅇᅧㅇ,-yeo-ng,エ,イ,(none),e,i,ㅇ,ᅧ,ㅇ,(none),yeo,ng,やう,(01) ア行,(09) エ(e),(03) イ (i),(01) ㅇ,(13) ᅧ(yeo),(02) ㅇ (ng)
液,エキ,エ-キ,-e-ki,액,ㅇᅢㄱ,-ae-k,エ,キ,(none),e,ki,ㅇ,ᅢ,ㄱ,(none),ae,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(01) ᅢ(ae),(06) ㄱ (k)
益,エキ,エ-キ,-e-ki,익,ㅇᅵㄱ,-i-k,エ,キ,(none),e,ki,ㅇ,ᅵ,ㄱ,(none),i,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(16) ᅵ(i),(06) ㄱ (k)
役,エキ,エ-キ,-e-ki,역,ㅇᅧㄱ,-yeo-k,エ,キ,(none),e,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
易,エキ,エ-キ,-e-ki,역,ㅇᅧㄱ,-yeo-k,エ,キ,(none),e,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
疫,エキ,エ-キ,-e-ki,역,ㅇᅧㄱ,-yeo-k,エ,キ,(none),e,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
繹,エキ,エ-キ,-e-ki,역,ㅇᅧㄱ,-yeo-k,エ,キ,(none),e,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
駅,エキ,エ-キ,-e-ki,역,ㅇᅧㄱ,-yeo-k,エ,キ,(none),e,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,,(01) ア行,(09) エ(e),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
槐,エン,エ-ン,-e-n,괴,ㄱᅬ,g-oe-,エ,ン,(none),e,n,ㄱ,ᅬ,(none),g,oe,(none),くわい,(01) ア行,(09) エ(e),(04) ン (n),(02) ㄱ(g),(02) ᅬ(oe),(01) (none)
円,エン,エ-ン,-e-n,원,ㅇᅯㄴ,-wo-n,エ,ン,(none),e,n,ㅇ,ᅯ,ㄴ,(none),wo,n,ゑん,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(06) ᅯ(wo),(04) ㄴ (n)
園,エン,エ-ン,-e-n,원,ㅇᅯㄴ,-wo-n,エ,ン,(none),e,n,ㅇ,ᅯ,ㄴ,(none),wo,n,をん,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(06) ᅯ(wo),(04) ㄴ (n)
苑,エン,エ-ン,-e-n,원,ㅇᅯㄴ,-wo-n,エ,ン,(none),e,n,ㅇ,ᅯ,ㄴ,(none),wo,n,をん,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(06) ᅯ(wo),(04) ㄴ (n)
遠,エン,エ-ン,-e-n,원,ㅇᅯㄴ,-wo-n,エ,ン,(none),e,n,ㅇ,ᅯ,ㄴ,(none),wo,n,をん,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(06) ᅯ(wo),(04) ㄴ (n)
塩,エン,エ-ン,-e-n,염,ㅇᅧㅁ,-yeo-m,エ,ン,(none),e,n,ㅇ,ᅧ,ㅁ,(none),yeo,m,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(05) ㅁ (m)
炎,エン,エ-ン,-e-n,염,ㅇᅧㅁ,-yeo-m,エ,ン,(none),e,n,ㅇ,ᅧ,ㅁ,(none),yeo,m,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(05) ㅁ (m)
宴,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
沿,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
演,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
煙,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
燕,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
鉛,エン,エ-ン,-e-n,연,ㅇᅧㄴ,-yeo-n,エ,ン,(none),e,n,ㅇ,ᅧ,ㄴ,(none),yeo,n,,(01) ア行,(09) エ(e),(04) ン (n),(01) ㅇ,(13) ᅧ(yeo),(04) ㄴ (n)
越,エツ,エ-ツ,-e-tu,월,ㅇᅯㄹ,-wo-l,エ,ツ,(none),e,tu,ㅇ,ᅯ,ㄹ,(none),wo,l,をつ,(01) ア行,(09) エ(e),(07) ツ (tu),(01) ㅇ,(06) ᅯ(wo),(07) ㄹ (l)
越,エッ,エ-ッ,-e-xtu,월,ㅇᅯㄹ,-wo-l,エ,ッ,(none),e,xtu,ㅇ,ᅯ,ㄹ,(none),wo,l,をつ,(01) ア行,(09) エ(e),(08) ッ (xtu),(01) ㅇ,(06) ᅯ(wo),(07) ㄹ (l)
一,イチ,イ-チ,-i-chi,일,ㅇᅵㄹ,-i-l,イ,チ,(none),i,chi,ㅇ,ᅵ,ㄹ,(none),i,l,,(01) ア行,(10) イ(i),(09) チ (chi),(01) ㅇ,(16) ᅵ(i),(07) ㄹ (l)
域,イキ,イ-キ,-i-ki,역,ㅇᅧㄱ,-yeo-k,イ,キ,(none),i,ki,ㅇ,ᅧ,ㄱ,(none),yeo,k,ゐき,(01) ア行,(10) イ(i),(06) キ (ki),(01) ㅇ,(13) ᅧ(yeo),(06) ㄱ (k)
育,イク,イ-ク,-i-ku,육,ㅇᅲㄱ,-yu-k,イ,ク,(none),i,ku,ㅇ,ᅲ,ㄱ,(none),yu,k,,(01) ア行,(10) イ(i),(05) ク (ku),(01) ㅇ,(10) ᅲ(yu),(06) ㄱ (k)
淫,イン,イ-ン,-i-n,음,ㅇᅳㅁ,-eu-m,イ,ン,(none),i,n,ㅇ,ᅳ,ㅁ,(none),eu,m,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(08) ᅳ(eu),(05) ㅁ (m)
陰,イン,イ-ン,-i-n,음,ㅇᅳㅁ,-eu-m,イ,ン,(none),i,n,ㅇ,ᅳ,ㅁ,(none),eu,m,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(08) ᅳ(eu),(05) ㅁ (m)
音,イン,イ-ン,-i-n,음,ㅇᅳㅁ,-eu-m,イ,ン,(none),i,n,ㅇ,ᅳ,ㅁ,(none),eu,m,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(08) ᅳ(eu),(05) ㅁ (m)
飲,イン,イ-ン,-i-n,음,ㅇᅳㅁ,-eu-m,イ,ン,(none),i,n,ㅇ,ᅳ,ㅁ,(none),eu,m,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(08) ᅳ(eu),(05) ㅁ (m)
印,イン,イ-ン,-i-n,인,ㅇᅵㄴ,-i-n,イ,ン,(none),i,n,ㅇ,ᅵ,ㄴ,(none),i,n,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(16) ᅵ(i),(04) ㄴ (n)
咽,イン,イ-ン,-i-n,인,ㅇᅵㄴ,-i-n,イ,ン,(none),i,n,ㅇ,ᅵ,ㄴ,(none),i,n,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(16) ᅵ(i),(04) ㄴ (n)
因,イン,イ-ン,-i-n,인,ㅇᅵㄴ,-i-n,イ,ン,(none),i,n,ㅇ,ᅵ,ㄴ,(none),i,n,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(16) ᅵ(i),(04) ㄴ (n)
引,イン,イ-ン,-i-n,인,ㅇᅵㄴ,-i-n,イ,ン,(none),i,n,ㅇ,ᅵ,ㄴ,(none),i,n,,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(16) ᅵ(i),(04) ㄴ (n)
韻,イン,イ-ン,-i-n,운,ㅇᅮㄴ,-u-n,イ,ン,(none),i,n,ㅇ,ᅮ,ㄴ,(none),u,n,ゐん,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(09) ᅮ(u),(04) ㄴ (n)
員,イン,イ-ン,-i-n,원,ㅇᅯㄴ,-wo-n,イ,ン,(none),i,n,ㅇ,ᅯ,ㄴ,(none),wo,n,ゐん,(01) ア行,(10) イ(i),(04) ン (n),(01) ㅇ,(06) ᅯ(wo),(04) ㄴ (n)
